community,GEOID,Longitude,Latitude,HCSRCP_2016-2018,HCSRCP_2015-2017,UNS_2015-2019,CZD_2019,CZD_2018,CZD_2017,CZD_2016,CZM_2019,CZM_2018,CZM_2017,CZM_2016,CZR_2019,CZR_2018,CZR_2017,CZR_2016,CZS_2019,CZS_2018,CZS_2017,CZS_2016,CZV_2019,CZV_2018,CZV_2017,CZV_2016,TRF_2019,TRF_2018,TRF_2017,TRF_2016,PMC_2019,PMC_2018,PMC_2017,PMC_2016,MEODR_2019,MEODR_2018,MEODR_2017,MEODR_2016,CCG_2015-2019,CCR_2015-2019,HCSOBP_2016-2018,HCSOBP_2015-2017,DIS_2015-2019,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSNSP_2016-2018,HCSNSP_2015-2017,EDB_2015-2019,EDE_2015-2019,UMP_2015-2019,POV_2015-2019,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,LEQ_2015-2019,POP_2015-2019,VRALR_2015-2019,VRDIDR_2015-2019,VRDO_2015-2019,VRSUR_2015-2019,VRCAR_2015-2019,VRDI_2015-2019,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,PARK_VEGETATED_SQFT,ROOF_VEGETATED_SQFT,Park Count,Roof Count,TOTAL_VEGETATED_SQFT,AVG_PARK_SQFT,AVG_ROOF_SQFT,TOTAL_COM_AREA_SQFT
ROGERS PARK,1.0,-87.670171,42.00963,74.0,72.2,13.0866436569213,91.913673,63.150125,58.102144,83.862366,1734.071487,1534.334201,1740.422206,1453.821261,110.108444,135.389177,165.55017,158.877453,36.701148,21.776792,33.746963,28.246499,277.773079,273.081867,314.047074,324.822094,432.612003510251,15.7526485861263,15.7117885171004,15.6189171559502,9.428351196648,12.5375073079918,11.0487290680948,11.5239285902903,16.9,12.9,26.0,26.0,75.75115754,628.7100776,33.5,33.7,10.3980029870043,77.0,75.5,73.0,76.6,87.3826852260942,45.7548469165467,5.42814616591768,24.9258198983455,24.9,25.6,16.5,21.3,8.14773430076612,52553.206784,10.2,23.4,65.0,9.9,186.2,718.0,75.609142959,75.13292486,75.0986,75.2831,75.4,2959466.4,29823.0,23.0,6.0,2989289.4,128672.45217391304,4970.5,51296256.0
NORWOOD PARK,10.0,-87.803451,41.985248,82.8,85.5,3.39875693591314,10.946296,16.13985,15.269008,23.97378,418.371346,460.512696,412.835804,501.502403,8.294926,8.993113,13.095491,14.253043,10.111998,3.991725,8.299472,2.984605,41.677774,37.233313,42.468353,44.166416,1485.72089971871,1146.23655210503,1115.05451857639,1188.45811796942,9.78828714086716,12.7563589914488,11.2153837193117,11.8536818522479,16.1,11.4,6.4,6.4,71.78478346,621.2630474,27.9,20.9,11.3750049074824,92.1,91.2,96.3,96.4,92.2187841947678,39.2616044984921,3.18947194160138,6.70165307442226,15.8,16.3,6.7,9.6,3.55218037932098,38676.029693,6.6,15.2,25.0,12.7,169.0,887.0,80.673544076,81.34222222,80.9651,81.2056,80.5,1930143.6,0.0,10.0,0.0,1930143.6,193014.36000000002,6460.170833333333,121828608.0
JEFFERSON PARK,11.0,-87.771165,41.978836,73.2,76.9,8.27852817403559,14.978495,14.986752,20.976037,20.964495,402.457918,458.4507,418.421648,457.339322,13.972681,17.95425,18.968182,22.951882,2.995008,7.001012,7.989433,4.986063,39.956659,58.890868,55.91857,46.91519,1917.24746520248,1482.84723774627,1471.21365752395,1456.5054276146,9.75806312958285,12.7903674933328,11.2563013592639,11.8633608989397,15.3,21.7,7.1,7.1,62.72094485,558.0248437,20.8,17.8,9.43537702046291,89.2,87.3,97.4,96.5,90.9117161644782,35.5715147168416,4.5202627822432,9.81145392962761,26.0,26.4,24.4,19.7,8.23102762641856,27475.359833,13.5,21.4,27.0,11.8,169.1,425.0,80.769752164,80.66629315,79.8778,80.0532,79.2,731372.4,0.0,5.0,0.0,731372.4,146274.48,16452.096153846152,64956672.0
FOREST GLEN,12.0,-87.758358,41.993938,91.5,78.2,3.8246022070458,4.009595,2.005499,5.007594,8.993789,187.991106,250.702132,239.963103,267.931677,2.009949,4.025798,8.027445,6.025986,0.012044,3.974852,2.990865,0.016546,11.009313,21.023953,21.020779,21.041759,1919.74265744983,1873.14531285702,1837.72475979824,1830.56975160347,9.69215148141256,12.718274132685,11.1890008564267,11.7845981978042,0.0,0.0,13.4,13.4,58.39589142,604.5267877,20.3,16.7,9.37569860512477,83.7,81.8,95.4,96.7,94.6536855623295,58.2582373008662,3.1789036744439,4.41424240534286,24.6,26.0,17.5,16.7,3.34636939730618,19361.55814,4.9,17.3,12.0,3.5,142.8,285.0,83.1913665,82.86192603,82.9067,82.1399,82.0,1139529.6,20924.0,8.0,1.0,1160453.6,142441.2,20924.0,89210880.0
NORTH PARK,13.0,-87.723578,41.983651,85.2,85.7,6.38787615458325,7.944029,12.017942,17.872966,30.868778,360.35458,497.974202,524.390408,485.531561,15.912615,28.898419,25.985785,31.932827,7.965049,9.949866,4.02307,3.00972,42.891279,66.782961,59.91491,61.888919,463.655017690316,263.740877884471,249.791549517116,248.445822230811,9.67517890990062,12.7549019456112,11.2503407019191,11.8062252788846,6.1,10.1,11.2,11.2,52.43834125,529.1342413,39.9,18.8,13.6104539183127,93.5,96.1,96.1,87.8,89.114037947883,47.6502341884995,4.52195077423518,11.3278170060913,23.0,21.4,15.9,22.9,8.88475686192216,18896.628476,6.4,8.1,8.0,11.7,133.3,324.0,81.608388028,81.91422278,81.1375,82.6033,83.6,7733206.8,3482.0,8.0,1.0,7736688.8,966650.85,3482.0,70253568.0
ALBANY PARK,14.0,-87.721558,41.968078,73.8,65.8,15.3760972045126,60.061556,31.082011,27.187319,45.262276,934.698727,1092.994227,1202.917589,1084.950242,73.118515,130.253444,138.293824,159.179957,16.08677,15.069951,15.01565,20.024244,198.340441,274.470319,229.584931,276.356408,462.667008176751,169.56008996406,154.481389071998,167.921546754089,9.71454075145279,12.8261138141833,11.3140790661543,11.8641263253975,11.8,7.3,10.2,10.2,44.04523593,466.8818989,29.5,23.9,8.72582728394121,76.4,71.3,87.1,80.0,81.4867052427197,38.1369187650028,5.17742460686887,14.3426627384499,22.6,21.9,24.9,21.2,14.9796766230761,49941.765631,8.5,15.0,39.0,9.2,152.3,522.0,80.313887549,79.22461047,79.4268,79.4931,80.4,1459260.0,16287.0,7.0,3.0,1475547.0,208465.7142857143,5429.0,53526528.0
PORTAGE PARK,15.0,-87.763401,41.954043,77.2,78.1,11.057903000373,46.954596,41.968834,75.92326,79.969326,1031.757304,1341.518354,1431.384324,1339.602725,54.959507,78.962556,71.9993,80.952363,22.977684,18.989277,19.980792,19.970756,205.807457,205.866451,205.910043,201.880672,823.357615610653,714.929223131477,684.166568562507,719.950087883449,9.81911877724845,12.8833546462854,11.3572597983584,11.9469695498283,19.6,19.6,19.2,19.2,74.52443722,561.090609,36.3,34.7,9.46943375747782,86.6,84.1,90.9,88.2,85.733032629731,32.7018174725007,5.48681981524689,9.39921336647777,26.9,24.0,19.6,20.1,10.6306794045297,64579.129015,14.6,23.2,76.0,7.8,161.0,850.0,80.616574374,80.85013908,80.1099,80.029,79.5,2976890.4,18187.0,5.0,3.0,2995077.4,595378.08,6062.333333333333,110119680.0
IRVING PARK,16.0,-87.723457,41.953589,75.8,67.7,12.2597857869809,45.030985,38.9978,27.992491,60.976117,1110.160595,1316.037957,1496.721091,1332.973572,47.987327,87.98189,116.96546,106.975237,20.993917,16.983484,10.011612,16.999724,161.905809,195.92502,219.878201,238.864725,4953.22237401491,4089.05657836404,4181.1059445206,4033.44017181421,9.75567942109737,12.8777603728001,11.370208217672,11.910498041029,15.2,14.7,15.2,15.2,58.66359967,533.834315,31.4,28.6,8.08357837354541,82.5,83.9,83.0,86.6,86.8881944316003,43.4153339380718,3.8563949729241,8.70421881562031,29.9,24.2,19.1,18.3,10.1120317084043,53468.353559,10.9,19.1,52.0,7.2,155.5,551.0,79.272994681,79.51555799,79.7732,79.3258,79.6,4166078.4,0.0,7.0,0.0,4166078.4,595154.0571428571,24467.95,89489664.0
DUNNING,17.0,-87.806015,41.946522,68.1,69.0,8.28036985872342,15.983792,16.984493,19.989875,38.965536,419.609056,584.419079,546.44544,711.257416,5.999863,17.982834,25.971534,46.9392,7.993724,9.996653,5.998086,10.9935,64.953631,78.913168,77.928323,115.866027,560.554475830499,576.930491252176,569.034922050833,558.021882906742,9.89407493069603,12.8951047764437,11.352635281544,11.9936770262718,16.4,23.6,15.4,15.4,66.87103762,547.9770783,31.5,30.3,10.6953585881376,86.2,85.2,94.0,96.4,89.445216649266,26.6596551535625,3.56023901786579,6.9598650419721,23.2,18.8,31.5,19.7,10.0330742077544,43400.977557,11.4,20.5,44.0,12.3,176.8,815.0,79.809719713,79.51904778,79.739,79.4437,80.1,1732816.8,25644.0,3.0,3.0,1758460.8,577605.6,8548.0,103707648.0
MONTCLARE,18.0,-87.798033,41.929306,65.6,58.0,10.5658005867914,9.009547,10.032688,10.04068,8.049388,214.212448,244.247232,232.590204,267.036661,13.039828,10.065414,21.088575,15.088727,2.013608,2.007921,4.006162,1.010298,40.130155,38.115534,56.182776,41.173485,228.014016731594,224.524699922825,229.776952387839,230.456715296553,9.92188421909463,12.9581158773523,11.4132347869169,12.034060517667,31.5,22.1,6.8,6.8,65.17731494,540.6162709,41.6,43.7,11.4419318445469,85.0,66.8,79.0,77.5,79.7162955863434,17.039905818422,5.62031738160878,11.6889146001058,37.0,23.2,21.2,23.2,15.8487269799642,14305.195008,9.6,18.7,12.0,15.4,191.3,282.0,77.097372941,77.73628895,78.301,76.9961,77.1,160736.4,0.0,1.0,0.0,160736.4,160736.4,12900.813333333334,27599616.0
