PARK NUMBER,PARK NAME,STREET ADDRESS,ZIP,ACRES,WARD,PARK CLASS,LABEL,WHEELCHAIR ACCESSIBLE BALL FIELDS,ALFRED CALDWELL LILY POND,ARCHERY RANGE,ARTIFICIAL TURF FIELDS,BAND SHELL,BASEBALL BATTING CAGES,BASKETBALL BACKBOARDS,BASKETBALL COURTS,BEACH,BOAT LAUNCH (MOTORIZED),BOAT LAUNCH (NON-MOTORIZED),BOAT SLIPS,BOCCE COURT,BOWLING GREEN,CASTING AREA,CHESS PAVILLION,FOOTBALL SOCCER COMBO,COMMUNITY GARDEN,CONSERVATORY,CULTURAL CENTER,DOG-FRIENDLY,FITNESS CENTER,FITNESS COURSES,GALLERY,GARDEN,GOLF COURSE,GOLF DRIVING RANGE,GOLF PUTTING GREENS,GYMNASIUM,GYMNASTIC CENTERS,HANDBALL/RAQUETBALL COURT,HANDBALL,HORSESHOE COURTS,ICE SKATING,POOL INDOOR,BASEBALL JR/SOFTBALL/T-BALL,MOUNTAIN BIKE TRAIL,NATURE CENTER,POOL OUTDOOR,PAVILLION,ZOO,PLAYGROUND,PLAYGROUND PARK,ROWING CLUB,VOLLEYBALL,SENIOR CENTER,SHUFFLEBOARD,SKATE PARK,SLED HILL,SPORT ROLLER COURTS,SPRAY FEATURE,BASEBALL SR,TENNIS COURTS,TRACK,VOLLEYBALL SAND,WATER PLAYGROUND,WATER SLIDE,BOXING CENTER,WETLAND AREA,LAGOON,CAROUSEL,CROQUET,GOLF COURSE MINIATURE,MODEL TRAIN DISPLAY,MODEL YACHT BASIN,CRICKET FIELD,LOCATION,LATITUDE,LONGITUDE,NORM ACRES
1162,MCKEON (JOSEPH),600 W 36TH ST,60609.0,0.4,11,MINI-PARK,McKeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"600 W 36TH ST60609
(41.82903552510654, -87.64121494764093)",41.8290355,-87.6412149,0.6324555
1139,OHIO,4712 W OHIO ST,60644.0,0.42,37,MINI-PARK,Ohio,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4712 W OHIO ST60644
(41.89145773962588, -87.74324905079695)",41.8914577,-87.7432491,0.6480741
206,ALTGELD (JOHN),515 S WASHTENAW AVE,60612.0,4.32,27,COMMUNITY PARK,Altgeld,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"515 S WASHTENAW AVE60612
(41.87472755936259, -87.69364670414106)",41.8747276,-87.6936467,2.078461
468,PARK NO. 468,4556 W 56TH ST,60629.0,1.32,13,UNIMPROVED PARK,Park No. 468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4556 W 56TH ST60629
(41.791344140064204, -87.73694106533623)",41.7913441,-87.7369411,1.1489125
33,RAINEY (EDWARD),4350 W 79TH ST,60652.0,18.31,13,REGIONAL PARK,Rainey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"4350 W 79TH ST60652
(41.749472777639994, -87.73073129753891)",41.7494728,-87.7307313,4.2790186
260,KELLY (EDWARD),2725 W 41ST ST,60632.0,7.08,12,COMMUNITY PARK,Kelly (Edward),0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2725 W 41ST ST60632
(41.81925144080563, -87.6935789046583)",41.8192514,-87.6935789,2.6608269
59,ORIOLE,5430 N OLCOTT AVE,60656.0,18.57,41,REGIONAL PARK,Oriole,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"5430 N OLCOTT AVE60656
(41.979752471520555, -87.81386669629548)",41.9797525,-87.8138667,4.3092923
1288,JACOLIK (FLORIAN S.),2731 S ELEANOR ST,60608.0,0.3,11,MINI-PARK,Jacolik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2731 S ELEANOR ST60608
(41.84436269126238, -87.66051993335817)",41.8443627,-87.6605199,0.5477226
1109,HUBBARD (GURDON),4950 W HUBBARD ST,60644.0,0.48,37,MINI-PARK,Hubbard,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4950 W HUBBARD ST60644
(41.888705639096074, -87.74927358256419)",41.8887056,-87.7492736,0.6928203
10,MARQUETTE (JACQUES),6734 S KEDZIE AVE,60629.0,322.68,0,CITYWIDE PARK,Marquette,0,0,0,1,0,0,8,3,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,"6734 S KEDZIE AVE60629
(41.77145233302823, -87.70305177751246)",41.7714523,-87.7030518,17.9632959
450,LAZARUS (EMMA),1257 W COLUMBIA AVE,60626.0,0.16,49,MINI-PARK,Lazarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1257 W COLUMBIA AVE60626
(42.004467508894585, -87.66241713234905)",42.0044675,-87.6624171,0.4
